encounter_id,encounter_date,species_name,encounter_locality,encounter_adults,encounter_young,encounter_lat,encounter_lng,attractant_names,enctype_name,outcome_name,group_code
267428,2019-06-17 01:51:53,BLACK BEAR,PORT HARDY,1,0,50.7198981,-127.5105849,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267427,2019-06-17 01:01:30,BLACK BEAR,MAPLE RIDGE,1,0,49.22,-122.5988889,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267424,2019-06-17 00:27:34,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
267425,2019-06-16 23:43:43,BLACK BEAR,PRINCE GEORGE,1,0,53.9130556,-122.7452778,NOT APPLICABLE,INJURED/DISTRESSED,NOT SPECIFIED,COS
267422,2019-06-16 23:14:56,BLACK BEAR,PORT COQUITLAM,1,0,49.2734008,-122.7416369,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
267423,2019-06-16 22:56:34,BLACK BEAR,LANGLEY,1,0,49.1025,-122.6580556,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267421,2019-06-16 22:45:10,BLACK BEAR,WHISTLER,1,0,50.1172223,-122.9547222,NOT APPLICABLE,INJURED/DISTRESSED,NOT SPECIFIED,COS
267417,2019-06-16 21:45:40,BLACK BEAR,COQUITLAM,1,0,49.2638622,-122.8260427,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
267415,2019-06-16 21:28:25,BLACK BEAR,SURREY,1,0,49.1779113,-122.7166626,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
267413,2019-06-16 21:27:59,BLACK BEAR,METCHOSIN,1,0,48.3791667,-123.5358333,LIVESTOCK,LIVESTOCK/PETS - KILLED/INJURED,NOT SPECIFIED,COS
267412,2019-06-16 21:10:00,BLACK BEAR,PORT COQUITLAM,1,0,49.2780761,-122.7219824,NOT APPLICABLE,AGGRESSIVE,NOT SPECIFIED,COS
267410,2019-06-16 21:00:07,BLACK BEAR,CAMPBELL RIVER,1,0,50.0230556,-125.2436111,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267409,2019-06-16 20:57:46,BLACK BEAR,ABBOTSFORD,1,0,49.0498381,-122.2846193,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267406,2019-06-16 20:51:36,BLACK BEAR,PORT MOODY,1,0,49.2822223,-122.8294444,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267404,2019-06-16 20:27:02,BLACK BEAR,COQUITLAM,1,0,49.3045458,-122.8171777,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267403,2019-06-16 19:58:00,BLACK BEAR,ENDERBY,1,0,50.5951365,-119.1667834,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
267402,2019-06-16 19:55:45,BLACK BEAR,SURREY,1,0,49.1116667,-122.8275,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267400,2019-06-16 19:42:06,BLACK BEAR,ABBOTSFORD,1,0,49.0674145,-122.2535178,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267394,2019-06-16 18:55:29,BLACK BEAR,MAPLE RIDGE,1,0,49.22,-122.5988889,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267395,2019-06-16 18:43:47,BLACK BEAR,SURREY,1,0,49.1830518,-122.7259838,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267391,2019-06-16 18:41:11,BLACK BEAR,WEST VANCOUVER,1,0,49.358394,-123.125507,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
267392,2019-06-16 18:37:36,BLACK BEAR,KIMBERLEY,1,0,49.685,-115.9816667,NOT APPLICABLE,SCHOOL/PARK/PLAYGROUND,NOT SPECIFIED,COS
267388,2019-06-16 17:58:57,BLACK BEAR,DUNCAN,1,0,48.7918473,-123.7794816,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
