encounter_id,encounter_date,species_name,encounter_locality,encounter_adults,encounter_young,encounter_lat,encounter_lng,attractant_names,enctype_name,outcome_name,group_code
256674,2018-12-31 19:49:07,BLACK BEAR,COQUITLAM,1,0,49.2841667,-122.7936111,NOT APPLICABLE,SIGHTINGS,NOT SPECIFIED,COS
256658,2018-12-31 14:08:22,BLACK BEAR,NANAIMO,1,0,49.1638889,-123.9380556,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256659,2018-12-31 13:46:06,BLACK BEAR,NELSON,1,0,49.4933334,-117.2958333,NOT APPLICABLE,ORPHANED,NOT SPECIFIED,COS
256677,2018-12-31 10:43:35,BLACK BEAR,LANGFORD,1,0,48.4608368,-123.5481728,"COMPOST, GARBAGE",FOOD CONDITIONED,ADVICE PROVIDED,COS
256661,2018-12-31 10:04:54,BLACK BEAR,LANTZVILLE,1,0,49.2505556,-124.0744444,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256664,2018-12-31 09:30:51,BLACK BEAR,PITT MEADOWS,1,0,49.2205556,-122.6902778,"GARBAGE, LIVESTOCK",FOOD CONDITIONED,NOT SPECIFIED,COS
256669,2018-12-31 08:59:52,BLACK BEAR,SOOKE,1,0,48.3827778,-123.7319444,GARBAGE,FOOD CONDITIONED,ADVICE PROVIDED,COS
256676,2018-12-31 08:41:52,BLACK BEAR,PITT MEADOWS,1,0,49.2648849,-122.6962422,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
256647,2018-12-30 16:07:02,BLACK BEAR,PRINCE GEORGE,0,1,53.9130556,-122.7452778,NOT APPLICABLE,ORPHANED,OTHER,COS
257564,2018-12-30 13:00:00,GRIZZLY BEAR,DEASE LAKE,1,0,58.4331298,-130.0259713,,SIGHTINGS,NOT SPECIFIED,COS
256642,2018-12-30 12:24:37,BLACK BEAR,COURTENAY,1,0,49.6723619,-125.0171048,GARBAGE,FOOD CONDITIONED,NOT SPECIFIED,COS
